event_id_cnty,event_date,state_clean,location,event_type,notes_short,fatalities,kidnapped_count,fatalities_combatants,fatalities_security_forces,fatalities_civilians,civilian_targeting,is_duplicate,corrected_kidnapped_count,corrected_fatalities,corrected_combatants,corrected_security,corrected_civilians,corrected_duplicate,review_note
NIG12752,2018-07-09,Oyo,Ibadan - Agodi,Protests,"09 July. Scores of deaf persons staged a peaceful protest in Agodi, Ibadan against what they called 'illegal acquisition...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12761,2018-07-10,Delta,Irri,Protests,10 July. The people of Ikpide-Irri in the Isoko South Local Government Area of Delta State protest against the alleged u...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12773,2018-07-10,FCT,Abuja,Riots,10 July. A rally for the re-election of President Muhammadu Buhari ended in a stick and fist fight in Abuja as the suppo...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12772,2018-07-10,Ekiti,Ado-Ekiti,Protests,10 July. APC adherents occupy the governor's building in Ado Ekiti in protest of the PDP governor.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12769,2018-07-10,Edo,Benin City,Protests,10 or 11 July. Former Niger Delta militants protested in Benin City over the non-payment of their two months allowances ...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG21704,2021-08-12,Kaduna,Sabon Birni,Explosions/Remote violence,"On 12 August 2021, military forces of Nigeria bombarded local militia camps at Sabon Birni, (Igabi LGA, Kaduna state). 1...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12771,2018-07-10,Osun,Oshogbo,Protests,"10 July. A group, under the aegis of Development Advocacy Group (DAG), in collaboration with Coalition of Osun Youth Org...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12768,2018-07-10,Anambra,Awka,Protests,"10 July. Hundreds of traders protested at Government House, Awka, over what they called government's leadership impositi...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12775,2018-07-10,Rivers,Ozuoba,Battles,"10 July. Unidentified gunmen attacked a police checkpoint in Ozuoba, killing a police officer and a nearby civilian.",2,0.0,0.0,0.0,2.0,No,No,,,,,,,
NIG12783,2018-07-11,Lagos,Lagos,Protests,11 July. A community in the Escravos area of Warri South Local Government Area of Delta State protested against JAD Cate...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12784,2018-07-11,Ekiti,Ado-Ekiti,Strategic developments,"Arrests: 08 July-14 July, week of. Ekiti State governor alleged on 14 July that several members of his staff, including ...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12781,2018-07-11,Enugu,Enugu,Protests,"11 July. A group known as VEAST protests in Enugu, calling for the impeachment of President Buhari on grounds of 'cheape...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12857,2018-07-11,Oyo,Ibadan - Popoyemoja,Protests,"11 July, week of. Landlords of Ire-Akari Estate at Soka in Ibadan protest a Supreme Court ruling which ceded parts of th...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12786,2018-07-12,Imo,Owerri,Protests,12 July. PDP members in Owerri protested to a police station over alleged harassment of the governor.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12785,2018-07-12,FCT,Abuja,Protests,12 July. Members of the PDP protested at the national assembly and the headquarters of the Independent National Electora...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12787,2018-07-12,Kebbi,Kaoje,Battles,"12 July. Fulanis attack and kill a police officer in Kaoje, Bagudo LGA.",1,0.0,0.0,0.0,1.0,No,No,,,,,,,
NIG12788,2018-07-12,Edo,Benin City,Protests,"12 July. As a reaction to the previous day's attack on Governor of Ekiti State by security agents, members of the People...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG13442,2018-07-12,Borno,Bama,Battles,07 December. Boko Haram attacked a military base in Bama.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12789,2018-07-13,Borno,Maiduguri,Strategic developments,"Movement of forces: 13 July. The Nigerian Security and Civil Defence Corps announced it would deploy about 5,000 personn...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12795,2018-07-13,Borno,Bama,Battles,"13-14 July. 23 Nigerian soldiers went missing after Boko Haram ambushed a convoy outside Bama at Boboshe village, leadin...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12799,2018-07-14,Ekiti,Ikole,Protests,"On 14 July 2018, Staff of the Independent National Electoral Commission (INEC) protested the non-payment of salaries in ...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12797,2018-07-14,Edo,Sabon Gida,Battles,14 July. Four policemen have been reportedly killed by a gang of armed men in the Owan West Local Government Area of Edo...,4,0.0,0.0,4.0,0.0,No,No,,,,,,,
NIG13743,2018-07-14,Akwa Ibom,Odot,Battles,"14 July. Police and a youth cult group clash in a gun battle, killing 2 people in Nsit Atai LGA of Akwa Ibom State.",2,0.0,0.0,0.0,2.0,No,No,,,,,,,
NIG12790,2018-07-14,Ekiti,Ado-Ekiti,Strategic developments,Property destruction: 14 July. 'Thugs' smashed and stole election boxes during Ekiti State voting in Ado-Ektit.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12796,2018-07-14,Borno,Bama,Battles,"13-14 July. 23 Nigerian soldiers went missing after Boko Haram ambushed a convoy outside Bama at Boboshe village, leadin...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12798,2018-07-14,Borno,Jilli,Battles,"14 July. Nearly 100 soldiers are missing after Boko Haram elements overruns a base in Jilli, along the border between Yo...",31,0.0,0.0,31.0,0.0,No,No,,,,,,,
NIG12805,2018-07-15,Ekiti,Ado-Ekiti,Protests,15 July. Protests in Ado-Ekiti following an APC election victory.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12804,2018-07-15,Akwa Ibom,Uyo,Protests,15 July. Retired police officers protest in Uyo over non-payment of retirement arrears.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12802,2018-07-15,Borno,Kuwiya,Battles,15 July. Military forces kill 5 members of Boko Haram in Kwari (Kuwiya) while on patrol.,5,0.0,0.0,0.0,5.0,No,No,,,,,,,
NIG12803,2018-07-15,Borno,Bama,Battles,"15 July, on or before. Following an alleged attack on a military convoy, military forces attack a Boko Haram position in...",22,0.0,0.0,0.0,22.0,No,No,,,,,,,
NIG12810,2018-07-16,Edo,Benin City,Protests,16 July. After flooding killed a small boy residents of a Benin City neighbourhood protest over poor drainages in the ar...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12808,2018-07-16,FCT,Abuja,Protests,"On 16 July 2018, a coalition of anti-APC civil society groups protested the alleged rigging of Ekiti governorship electi...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
